ID,LABEL,Parent,definition,PMID,has microbe depleted in diseased host,has microbe expanded in diseased host,term editor,microbe label,Rank,Localization,No.
ID,A rdfs:label,C %,A definition SPLIT=|,A definition source SPLIT=|,C 'has microbe depleted in diseased host' some % SPLIT=|,C 'has microbe expanded in diseased host' some % SPLIT=|,A term editor SPLIT=|,,,,
OHMI:0000672,MDD human gut microbiome interaction,human-gut microbiome interaction,Human gut microbiome interaction where a person has Major Depressive Disorder (MDD).,,,,Haihe Wang|Jie Zheng|Yongqun He,,,,
OHMI:0000673,bacterial change in gut of MDD patient compared to healthy human,MDD human gut microbiome interaction,MDD human gut microbiome interaction that shows an change of bacteria in patients with MDD compared to healthy controls.,,,,Haihe Wang|Jie Zheng|Yongqun He,,,,
OHMI:0000674,bacterial change in gut of active-phase MDD patient compared to remission-phase MDD patient,MDD human gut microbiome interaction,MDD human gut microbiome interaction that shows an change of bacteria in patients with active-phase MDD compared to those with remission-phase MDD.,,,,Haihe Wang|Jie Zheng|Yongqun He,,,,
OHMI:0000675,bacterial change in gut of active-phase MDD patient compared to healthy human,MDD human gut microbiome interaction,MDD human gut microbiome interaction that shows an change of bacteria in patients with active-phase MDD compared to healthy controls.,,,,Haihe Wang|Jie Zheng|Yongqun He,,,,
OHMI:0000676,bacterial change in gut of female MDD patient compared to healthy human,MDD human gut microbiome interaction,MDD human gut microbiome interaction that shows an change of bacteria in female patients with MDD compared to healthy controls.,,,,Haihe Wang|Jie Zheng|Yongqun He,,,,
OHMI:0000677,bacterial change in gut of adolescent MDD patient compared to healthy human,MDD human gut microbiome interaction,MDD human gut microbiome interaction that shows an change of bacteria in adolescent patients with MDD compared to healthy controls.,,,,Haihe Wang|Jie Zheng|Yongqun He,,,,
OHMI:0000678,expansion of Acinetobacter sp. in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Acinetobacter sp. up-regulated in gut of MDD patient compared to healthy human,PMID:41173853,,http://purl.obolibrary.org/obo/NCBITaxon_472,Haihe Wang|Jie Zheng|Yongqun He,Acinetobacter sp. ,species,Gut,1
OHMI:0000679,expansion of Bacteroides fragilis in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Bacteroides fragilis up-regulated in gut of MDD patient compared to healthy human,PMID:33268363,,http://purl.obolibrary.org/obo/NCBITaxon_817,Haihe Wang|Jie Zheng|Yongqun He,Bacteroides fragilis,species,Gut,2
OHMI:0000680,expansion of Bacteroides thetaiotaomicron in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Bacteroides thetaiotaomicron up-regulated in gut of MDD patient compared to healthy human,PMID:33268363|PMID:34093266,,http://purl.obolibrary.org/obo/NCBITaxon_818,Haihe Wang|Jie Zheng|Yongqun He,Bacteroides thetaiotaomicron ,species,Gut,3
OHMI:0000681,expansion of Phocaeicola vulgatus in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Phocaeicola vulgatus up-regulated in gut of MDD patient compared to healthy human,PMID:33268363,,http://purl.obolibrary.org/obo/NCBITaxon_821,Haihe Wang|Jie Zheng|Yongqun He,Phocaeicola vulgatus,species,Gut,4
OHMI:0000682,expansion of Nitrobacter hamburgensis in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Nitrobacter hamburgensis up-regulated in gut of MDD patient compared to healthy human,PMID:41173853,,http://purl.obolibrary.org/obo/NCBITaxon_912,Haihe Wang|Jie Zheng|Yongqun He,Nitrobacter hamburgensis,species,Gut,5
OHMI:0000683,expansion of Trueperella pyogenes in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Trueperella pyogenes up-regulated in gut of MDD patient compared to healthy human,PMID:39719433,,http://purl.obolibrary.org/obo/NCBITaxon_1661,Haihe Wang|Jie Zheng|Yongqun He,Trueperella pyogenes,species,Gut,6
OHMI:0000684,expansion of Bacteroides eggerthii in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Bacteroides eggerthii up-regulated in gut of MDD patient compared to healthy human,PMID:33268363,,http://purl.obolibrary.org/obo/NCBITaxon_28111,Haihe Wang|Jie Zheng|Yongqun He,Bacteroides eggerthii,species,Gut,7
OHMI:0000685,expansion of Bacteroides ovatus in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Bacteroides ovatus up-regulated in gut of MDD patient compared to healthy human,PMID:33268363,,http://purl.obolibrary.org/obo/NCBITaxon_28116,Haihe Wang|Jie Zheng|Yongqun He,Bacteroides ovatus,species,Gut,8
OHMI:0000686,expansion of Phascolarctobacterium faecium in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Phascolarctobacterium faecium up-regulated in gut of MDD patient compared to healthy human,PMID:39719433,,http://purl.obolibrary.org/obo/NCBITaxon_33025,Haihe Wang|Jie Zheng|Yongqun He,Phascolarctobacterium faecium ,species,Gut,9
OHMI:0000687,expansion of Bilophila wadsworthia in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Bilophila wadsworthia up-regulated in gut of MDD patient compared to healthy human,PMID:39719433,,http://purl.obolibrary.org/obo/NCBITaxon_35833,Haihe Wang|Jie Zheng|Yongqun He,Bilophila wadsworthia,species,Gut,10
OHMI:0000688,expansion of Bifidobacterium sp. in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Bifidobacterium sp. up-regulated in gut of MDD patient compared to healthy human,PMID:39217732,,http://purl.obolibrary.org/obo/NCBITaxon_41200,Haihe Wang|Jie Zheng|Yongqun He,Bifidobacterium sp.,species,Gut,11
OHMI:0000689,expansion of Vibrio scophthalmi in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Vibrio scophthalmi up-regulated in gut of MDD patient compared to healthy human,PMID:41173853,,http://purl.obolibrary.org/obo/NCBITaxon_45658,Haihe Wang|Jie Zheng|Yongqun He,Vibrio scophthalmi,species,Gut,12
OHMI:0000690,expansion of Bacteroides stercoris in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Bacteroides stercoris up-regulated in gut of MDD patient compared to healthy human,PMID:33268363,,http://purl.obolibrary.org/obo/NCBITaxon_46506,Haihe Wang|Jie Zheng|Yongqun He,Bacteroides stercoris,species,Gut,13
OHMI:0000691,expansion of Rhodococcus pyridinivorans in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Rhodococcus pyridinivorans up-regulated in gut of MDD patient compared to healthy human,PMID:41173853,,http://purl.obolibrary.org/obo/NCBITaxon_103816,Haihe Wang|Jie Zheng|Yongqun He,Rhodococcus pyridinivorans,species,Gut,14
OHMI:0000692,expansion of Phocaeicola massiliensis in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Phocaeicola massiliensis up-regulated in gut of MDD patient compared to healthy human,PMID:33268363,,http://purl.obolibrary.org/obo/NCBITaxon_204516,Haihe Wang|Jie Zheng|Yongqun He,Phocaeicola massiliensis,species,Gut,15
OHMI:0000693,expansion of Phocaeicola dorei in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Phocaeicola dorei up-regulated in gut of MDD patient compared to healthy human,PMID:33268363,,http://purl.obolibrary.org/obo/NCBITaxon_357276,Haihe Wang|Jie Zheng|Yongqun He,Phocaeicola dorei,species,Gut,16
OHMI:0000694,expansion of Enterocloster aldensis in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Enterocloster aldensis up-regulated in gut of MDD patient compared to healthy human,PMID:39719433,,http://purl.obolibrary.org/obo/NCBITaxon_358742,Haihe Wang|Jie Zheng|Yongqun He,Enterocloster aldensis,species,Gut,17
OHMI:0000695,expansion of Leptospira kmetyi in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Leptospira kmetyi up-regulated in gut of MDD patient compared to healthy human,PMID:41173853,,http://purl.obolibrary.org/obo/NCBITaxon_408139,Haihe Wang|Jie Zheng|Yongqun He,Leptospira kmetyi,species,Gut,18
OHMI:0000696,expansion of Flavonifractor plautii ATCC29863 in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Flavonifractor plautii ATCC29863 up-regulated in gut of MDD patient compared to healthy human,PMID:39719433,,http://purl.obolibrary.org/obo/NCBITaxon_411475,Haihe Wang|Jie Zheng|Yongqun He,Flavonifractor plautii ATCC29863,species,Gut,19
OHMI:0000697,expansion of Dysosmobacter welbionis in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Dysosmobacter welbionis up-regulated in gut of MDD patient compared to healthy human,PMID:39719433,,http://purl.obolibrary.org/obo/NCBITaxon_2093857,Haihe Wang|Jie Zheng|Yongqun He,Dysosmobacter welbionis,species,Gut,20
OHMI:0000698,expansion of Bifidobacterium longum in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Bifidobacterium longum up-regulated in gut of MDD patient compared to healthy human,PMID:31685046,,http://purl.obolibrary.org/obo/NCBITaxon_216816,Haihe Wang|Jie Zheng|Yongqun He,Bifidobacterium longum,species,Gut,21
OHMI:0000699,expansion of Prevotella intermedia 17 in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Prevotella intermedia 17 up-regulated in gut of MDD patient compared to healthy human,PMID:30927646,,http://purl.obolibrary.org/obo/NCBITaxon_246198,Haihe Wang|Jie Zheng|Yongqun He,Prevotella intermedia 17,species,Gut,22
OHMI:0000700,expansion of Akkermansia muciniphila ATCC BAA-835 in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Akkermansia muciniphila ATCC BAA-835 up-regulated in gut of MDD patient compared to healthy human,PMID:30927646,,http://purl.obolibrary.org/obo/NCBITaxon_349741,Haihe Wang|Jie Zheng|Yongqun He,Akkermansia muciniphila ATCC BAA-835,species,Gut,23
OHMI:0000701,expansion of Bifidobacterium adolescentis ATCC 15703 in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Bifidobacterium adolescentis ATCC 15703 up-regulated in gut of MDD patient compared to healthy human,PMID:30927646,,http://purl.obolibrary.org/obo/NCBITaxon_367928,Haihe Wang|Jie Zheng|Yongqun He,Bifidobacterium adolescentis ATCC 15703,species,Gut,24
OHMI:0000702,expansion of Eubacterium rectale ATCC 33656 in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Eubacterium rectale ATCC 33656 up-regulated in gut of MDD patient compared to healthy human,PMID:30927646,,http://purl.obolibrary.org/obo/NCBITaxon_515619,Haihe Wang|Jie Zheng|Yongqun He,Eubacterium rectale ATCC 33656,species,Gut,25
OHMI:0000703,expansion of Prevotella melaninogenica ATCC25845 in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Prevotella melaninogenica ATCC25845 up-regulated in gut of MDD patient compared to healthy human,PMID:30927646,,http://purl.obolibrary.org/obo/NCBITaxon_553174,Haihe Wang|Jie Zheng|Yongqun He,Prevotella melaninogenica ATCC25845,species,Gut,26
OHMI:0000704,expansion of Clostridium saccharolyticum wm1 in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Clostridium saccharolyticum wm1 up-regulated in gut of MDD patient compared to healthy human,PMID:30927646,,http://purl.obolibrary.org/obo/NCBITaxon_610130,Haihe Wang|Jie Zheng|Yongqun He,Clostridium saccharolyticum wm1,species,Gut,27
